Group	Year	Month	Day	Time	End Year	End Month	End Day	End Time	Display Date	Evaluation	Title	InCharge	Checker	Checked	林コメント/修正案	URL	Image URL	Image Credit	Type	Color
世の中	2007	2	16							1	年金記録問題発覚(誤りや不備が多いこと等が明らかになった事件)	西尾	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E5%B9%B4%E9%87%91%E8%A8%98%E9%8C%B2%E5%95%8F%E9%A1%8C			1	
世の中	2007	6	20							0	食品偽装問題発覚（ミートホープ）	西尾			高橋	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%BC%E3%83%88%E3%83%9B%E3%83%BC%E3%83%97			0	
世の中	2007	10	2							0	第２回南北首脳会談開催	西尾			高橋	https://ja.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E9%A6%96%E8%84%B3%E4%BC%9A%E8%AB%87#%E7%AC%AC2%E5%9B%9E%E5%8D%97%E5%8C%97%E9%A6%96%E8%84%B3%E4%BC%9A%E8%AB%87%EF%BC%882007%E5%B9%B410%E6%9C%88%EF%BC%89			0	
世の中	2008	6	8							1	秋葉原無差別殺傷事件	西尾	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E7%A7%8B%E8%91%89%E5%8E%9F%E9%80%9A%E3%82%8A%E9%AD%94%E4%BA%8B%E4%BB%B6			1	
世の中	2008	8	8							1	北京オリンピック開催	西尾	高橋	1	高橋	https://ja.wikipedia.org/wiki/2008%E5%B9%B4%E5%8C%97%E4%BA%AC%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF			1	
世の中	2008	9	15							1	リーマンショック	西尾	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%BB%E3%82%B7%E3%83%A7%E3%83%83%E3%82%AF			1	
世の中	2010	12	25							0	プロレス漫画「タイガーマスク」の主人公伊達直人などを名乗る人物からの匿名の寄贈（いわゆるタイガーマスク運動）は12日も続き、読売新聞の調べで47都道府県全てに広がった	小屋			高橋	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%E3%83%9E%E3%82%B9%E3%82%AF%E9%81%8B%E5%8B%95			0	
世の中	2011	2	26							0	ニンテンドー3DS発売	小屋				https://ja.wikipedia.org/wiki/%E3%83%8B%E3%83%B3%E3%83%86%E3%83%B3%E3%83%89%E3%83%BC3DS			0	
世の中	2009	8	30							1	第45回衆院選 民主大勝 政権交代	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E7%AC%AC45%E5%9B%9E%E8%A1%86%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1%E7%B7%8F%E9%81%B8%E6%8C%99			1	
世の中	2009	9	9							0	ＰＭ2.5で環境基準決定	丸山				https://ja.wikipedia.org/wiki/%E7%B2%92%E5%AD%90%E7%8A%B6%E7%89%A9%E8%B3%AA			0	
世の中	2009	11	10							1	政府の行政刷新会議｢事業仕分け｣スタート	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E4%BA%8B%E6%A5%AD%E4%BB%95%E5%88%86%E3%81%91_(%E8%A1%8C%E6%94%BF%E5%88%B7%E6%96%B0%E4%BC%9A%E8%AD%B0)			1	
政府機関	2000	2	13							1	「不正アクセス禁止法」施行	中山	高橋	1		https://ja.wikipedia.org/wiki/%E4%B8%8D%E6%AD%A3%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9%E8%A1%8C%E7%82%BA%E3%81%AE%E7%A6%81%E6%AD%A2%E7%AD%89%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B				
世の中	2010	1	19							1	日本航空 会社更正法適用申請	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E8%88%AA%E7%A9%BA			1	
世の中	2010	2	11							0	EUが財政危機のギリシャへの金融支援へ	丸山				https://ja.wikipedia.org/wiki/2010%E5%B9%B4%E6%AC%A7%E5%B7%9E%E3%82%BD%E3%83%96%E3%83%AA%E3%83%B3%E5%8D%B1%E6%A9%9F			0	
世の中	2010	4	1							0	高校の授業料実質無料化	丸山				https://ja.wikipedia.org/wiki/%E9%AB%98%E6%A0%A1%E6%8E%88%E6%A5%AD%E6%96%99%E7%84%A1%E5%84%9F%E5%8C%96%E3%83%BB%E5%B0%B1%E5%AD%A6%E6%94%AF%E6%8F%B4%E9%87%91%E6%94%AF%E7%B5%A6%E5%88%B6%E5%BA%A6			0	
世の中	2010	9	10							1	厚生労働省の元局長 村木厚子氏に無罪判決	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E6%9D%91%E6%9C%A8%E5%8E%9A%E5%AD%90#%E7%84%A1%E7%BD%AA%E5%88%A4%E6%B1%BA			1	
世の中	2010	9	7							1	尖閣諸島　漁船衝突	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E5%B0%96%E9%96%A3%E8%AB%B8%E5%B3%B6%E4%B8%AD%E5%9B%BD%E6%BC%81%E8%88%B9%E8%A1%9D%E7%AA%81%E4%BA%8B%E4%BB%B6			1	
世の中	2011	3	11							1	東日本大震災発災	小屋	高橋	1		https://ja.wikipedia.org/wiki/%E6%9D%B1%E6%97%A5%E6%9C%AC%E5%A4%A7%E9%9C%87%E7%81%BD%E3%81%AB%E3%82%88%E3%82%8B%E9%9B%BB%E5%8A%9B%E5%8D%B1%E6%A9%9F#2011%E5%B9%B43%E6%9C%88%E3%81%AE%E8%A8%88%E7%94%BB%E5%81%9C%E9%9B%BBB			1	
世の中	2011	3	14							0	震災に伴う電力不足による計画停電実施	西尾				https://ja.wikipedia.org/wiki/%E6%9D%B1%E6%97%A5%E6%9C%AC%E5%A4%A7%E9%9C%87%E7%81%BD%E3%81%AB%E3%82%88%E3%82%8B%E9%9B%BB%E5%8A%9B%E5%8D%B1%E6%A9%9F#2011%E5%B9%B43%E6%9C%88%E3%81%AE%E8%A8%88%E7%94%BB%E5%81%9C%E9%9B%BB			0	
世の中	2011	5	12							0	東京都立川市で立川6億円強奪事件が発生					https://ja.wikipedia.org/wiki/%E7%AB%8B%E5%B7%9D6%E5%84%84%E5%86%86%E5%BC%B7%E5%A5%AA%E4%BA%8B%E4%BB%B6			0	
世の中	2011	7	17							0	なでしこジャパン、ワールドカップで優勝	西尾				https://ja.wikipedia.org/wiki/2011_FIFA%E5%A5%B3%E5%AD%90%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%AB%E3%83%83%E3%83%97			0	
IT	2000	2	18							1	Windows2000発売	中山	高橋	1		https://ja.wikipedia.org/wiki/Microsoft_Windows_2000				
